event_id,station_id,sensor,fault_type,start_timestamp,end_timestamp,start_idx,end_idx,magnitude,seed
FAULT_66E1E3F2,CWPRS campus,humidity,MULTIVARIATE_INCONSISTENCY,2024-05-14 12:40:00,2024-05-14 12:55:00,1016,1020,-76.93180760336364,42
FAULT_A190E7A0,CWPRS campus,pressure,ABRUPT_JUMP,2024-05-14 17:40:00,2024-05-14 19:45:00,1076,1102,-9.232965995592828,42
FAULT_CE5B06A2,Pashan AWS,temperature,DROPOUT,2024-05-15 07:40:00,2024-05-15 08:25:00,5276,5286,-0.0,42
FAULT_49F140DB,Pashan AWS,humidity,SPIKE,2024-05-15 23:15:00,2024-05-15 23:15:00,5463,5464,78.36365479253354,42
FAULT_2D089954,CWPRS campus,humidity,FROZEN,2024-05-12 08:35:00,2024-05-12 10:20:00,391,413,-0.0,42
FAULT_ACB8347E,Lavale AWS,temperature,FROZEN,2024-05-11 21:50:00,2024-05-11 23:00:00,2278,2293,0.0,42
FAULT_7FAE96FC,Shivajinagar AWS,pressure,SPIKE,2024-05-15 01:50:00,2024-05-15 01:50:00,7215,7216,9.414973295132667,42
FAULT_7A25B016,Pashan AWS,humidity,ABRUPT_JUMP,2024-05-17 19:15:00,2024-05-17 21:05:00,5991,6014,-60.243470232863196,42
FAULT_FD118E36,Pashan AWS,humidity,SPIKE,2024-05-16 09:05:00,2024-05-16 09:05:00,5581,5582,-114.12633632709608,42
FAULT_89D67C8A,CWPRS campus,humidity,DRIFT,2024-05-14 00:30:00,2024-05-14 02:30:00,870,895,-33.41762372824969,42
FAULT_9294EE14,Shivajinagar AWS,pressure,DRIFT,2024-05-17 07:25:00,2024-05-17 09:20:00,7858,7882,-4.062070604338737,42
FAULT_AF8CF6CB,Shivajinagar AWS,temperature,SPIKE,2024-05-13 00:20:00,2024-05-13 00:25:00,6628,6630,-21.481163786441098,42
FAULT_61E7CA79,Shivajinagar AWS,temperature,FROZEN,2024-05-13 03:40:00,2024-05-13 04:20:00,6668,6677,-0.0,42
FAULT_895D2350,Lavale AWS,pressure,FROZEN,2024-05-13 11:25:00,2024-05-13 11:55:00,2729,2736,-0.0,42
FAULT_7A8A3D6F,Lavale AWS,pressure,ABRUPT_JUMP,2024-05-16 14:15:00,2024-05-16 16:05:00,3627,3650,8.242368724294826,42
FAULT_8DAB88D5,Lavale AWS,pressure,FROZEN,2024-05-11 18:25:00,2024-05-11 19:20:00,2237,2249,-0.0,42
FAULT_21647D50,Pashan AWS,pressure,FROZEN,2024-05-17 08:40:00,2024-05-17 10:05:00,5864,5882,0.0,42
FAULT_6929C325,Shivajinagar AWS,temperature,FROZEN,2024-05-15 16:35:00,2024-05-15 17:20:00,7392,7402,0.0,42
FAULT_9074449D,Lavale AWS,pressure,FROZEN,2024-05-17 01:35:00,2024-05-17 02:40:00,3763,3777,-0.0,42
FAULT_7FBCED71,Lavale AWS,temperature,SPIKE,2024-05-14 09:55:00,2024-05-14 09:55:00,2999,3000,-16.108793133877846,42
FAULT_19FC5B36,Pashan AWS,pressure,DRIFT,2024-05-16 17:45:00,2024-05-16 20:55:00,5685,5724,4.071506041103725,42
FAULT_090F804C,Pashan AWS,temperature,SPIKE,2024-05-16 23:45:00,2024-05-16 23:55:00,5757,5760,18.840639537120687,42
FAULT_C1870513,Lavale AWS,humidity,DROPOUT,2024-05-15 07:15:00,2024-05-15 08:10:00,3255,3267,-0.0,42
FAULT_D597919E,Shivajinagar AWS,temperature,MULTIVARIATE_INCONSISTENCY,2024-05-17 00:40:00,2024-05-17 00:55:00,7777,7781,-19.73153436200553,42
FAULT_B787BEE4,Lavale AWS,temperature,SPIKE,2024-05-15 19:05:00,2024-05-15 19:15:00,3397,3400,-32.77501687156437,42
FAULT_6543627C,Shivajinagar AWS,humidity,DROPOUT,2024-05-12 17:30:00,2024-05-12 17:50:00,6546,6551,-0.0,42
